epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,2560.1,0.96931,0.85274,0.76439,1.00497,0,0.74218,0.58108,0.58809,0.3894,0.74218,0.58108,0.60926,0.35804,1.05617,0.6414,1.14069,1.04968,0,0.0004754,0.0004754,0.0004754
79,2592.28,0.98925,0.87546,0.78509,1.01838,0,0.79939,0.54054,0.55869,0.38259,0.79939,0.54054,0.58541,0.36208,1.02886,0.64196,1.15109,1.03891,0,0.0004556,0.0004556,0.0004556
80,2623.53,1.00277,0.89843,0.78574,1.01278,0,0.78534,0.52703,0.56141,0.38629,0.78534,0.52703,0.57782,0.35661,1.00385,0.66294,1.15123,1.03113,0,0.0004358,0.0004358,0.0004358
81,2656.11,0.95293,0.85273,0.7676,1.0012,0,0.80947,0.54054,0.56701,0.39759,0.80947,0.54054,0.58509,0.3561,0.96517,0.67393,1.16459,1.0359,0,0.000416,0.000416,0.000416
82,2687.4,0.95908,0.78516,0.76353,1.00735,0,0.71336,0.52703,0.56377,0.40589,0.71336,0.52703,0.59173,0.36172,0.94163,0.6431,1.14452,1.04058,0,0.0003962,0.0003962,0.0003962
83,2719.59,0.92162,0.84426,0.72681,0.97325,0,0.62496,0.58553,0.56117,0.39557,0.62496,0.58553,0.59424,0.35923,0.96516,0.60359,1.14523,1.03881,0,0.0003764,0.0003764,0.0003764
84,2751.44,0.90288,0.86576,0.72764,0.99406,0,0.66512,0.56368,0.56425,0.39745,0.66512,0.56368,0.5913,0.35863,0.97901,0.59567,1.14557,1.04253,0,0.0003566,0.0003566,0.0003566
85,2783.33,0.96724,0.84123,0.76618,1.01043,0,0.61811,0.60811,0.57495,0.39259,0.69141,0.55405,0.59395,0.37012,0.98902,0.61495,1.11226,1.04109,0,0.0003368,0.0003368,0.0003368
86,2816.53,1.01339,0.80328,0.7632,1.00456,0,0.61737,0.59459,0.59032,0.40404,0.59283,0.59031,0.58167,0.37629,0.94452,0.64161,1.06624,1.03462,0,0.000317,0.000317,0.000317
87,2848.17,0.97891,0.80225,0.76726,0.98756,0,0.61588,0.60668,0.59476,0.41964,0.57124,0.58108,0.57346,0.35555,0.89982,0.64107,1.04185,1.02682,0,0.0002972,0.0002972,0.0002972
88,2879.67,0.92759,0.81394,0.73875,0.98926,0,0.62652,0.58945,0.60291,0.42723,0.61077,0.55405,0.57444,0.3502,0.90307,0.64335,1.03133,1.02771,0,0.0002774,0.0002774,0.0002774
89,2912.25,0.92412,0.75246,0.73558,0.99577,0,0.63581,0.62162,0.60989,0.43036,0.5998,0.59459,0.58553,0.35094,0.917,0.64974,1.01502,1.0249,0,0.0002576,0.0002576,0.0002576
90,2944.59,0.93211,0.85817,0.74063,0.99622,0,0.65012,0.6278,0.6154,0.44474,0.62384,0.58108,0.59039,0.38842,0.88992,0.64304,0.99691,1.02559,0,0.0002378,0.0002378,0.0002378
91,2975.76,0.95161,0.74755,0.88498,1.03132,0,0.66575,0.61909,0.60877,0.43295,0.65617,0.59459,0.59875,0.39634,0.89209,0.64741,1.00403,1.02275,0,0.000218,0.000218,0.000218
92,3007.82,0.93868,0.70084,0.8322,0.98847,0,0.71384,0.6068,0.60374,0.41929,0.68534,0.58108,0.60054,0.39123,0.9468,0.6578,1.01131,1.0308,0,0.0001982,0.0001982,0.0001982
93,3039.59,0.96299,0.76346,0.80348,1.00078,0,0.71583,0.60811,0.59661,0.40312,0.68402,0.58108,0.59223,0.38531,0.97757,0.66148,1.02068,1.04158,0,0.0001784,0.0001784,0.0001784
94,3071.24,0.95409,0.73151,0.86034,0.97754,0,0.67993,0.54054,0.57128,0.39406,0.67775,0.52703,0.55945,0.34758,0.95727,0.62835,1.07875,1.06476,0,0.0001586,0.0001586,0.0001586
95,3102.23,0.86306,0.69691,0.76374,0.96994,0,0.68071,0.56757,0.56177,0.38747,0.69991,0.52703,0.5542,0.33583,0.95179,0.61485,1.06638,1.06579,0,0.0001388,0.0001388,0.0001388
96,3134.04,0.93062,0.71691,0.83552,1.01531,0,0.68825,0.58108,0.5637,0.38734,0.6668,0.55405,0.55956,0.33416,0.9452,0.60576,1.03188,1.06548,0,0.000119,0.000119,0.000119
97,3165.81,0.84281,0.6413,0.75382,0.96485,0,0.69012,0.60811,0.56228,0.38976,0.66946,0.57481,0.55748,0.33038,0.93536,0.6002,1.00484,1.06243,0,9.92e-05,9.92e-05,9.92e-05
98,3197.33,0.87352,0.72933,0.80034,0.97637,0,0.69862,0.59519,0.56366,0.39945,0.66727,0.56914,0.56584,0.3293,0.92286,0.60338,0.97757,1.06259,0,7.94e-05,7.94e-05,7.94e-05
99,3227.7,0.86526,0.71322,0.77518,0.9859,0,0.71857,0.59459,0.56646,0.40147,0.66712,0.58108,0.57088,0.33198,0.91236,0.6055,0.96485,1.05974,0,5.96e-05,5.96e-05,5.96e-05
100,3259.77,0.90524,0.65837,0.79423,1.00873,0,0.71998,0.59459,0.57157,0.40727,0.68938,0.56986,0.57663,0.34918,0.90635,0.60864,0.95054,1.05629,0,3.98e-05,3.98e-05,3.98e-05
